"Player_Name","Round","Hole","SG_Drive","SG_Approach","SG_Around_Green","SG_Putt","Total_Strokes_Gained"
"Aaron Baddeley",1,"1",0.00716725467817803,0.337871982991806,0,-0.345039237669984,0
"Aaron Baddeley",1,"2",-0.0633942607256759,-0.253073830170617,0,0.316468090896292,0
"Aaron Baddeley",1,"3",0.429106444897557,0.101774435495742,0,0.469119119606702,1
"Aaron Baddeley",1,"4",-0.0107238180441747,0.361522027782385,0,-0.350798209738211,0
"Aaron Baddeley",1,"5",-0.0854375217000589,-0.212358409029009,0,0.297795930729068,0
"Aaron Baddeley",1,"6",0.20234918832211,0,0,-1.20234918832211,-1
"Aaron Baddeley",1,"7",0.0316676292807632,0.318314449705648,0,-0.349982078986411,0
"Aaron Baddeley",1,"8",0.00848829568120824,-0.533903820909713,0,0.525415525228504,0
"Aaron Baddeley",1,"9",0.589749729219111,0.199879026124791,-0.101118174286703,0.311489418942801,1
"Aaron Baddeley",1,"10",-0.089360508324027,-0.231044105668559,0,0.320404613992586,0
"Aaron Baddeley",1,"11",0.166471797108473,0,0,-0.166471797108473,0
"Aaron Baddeley",1,"12",0.22834504416403,0.381849581416138,0,0.389805374419833,1
"Aaron Baddeley",1,"13",-0.0601902696586212,0.579704380850185,0,-0.519514111191564,0
"Aaron Baddeley",1,"14",-0.232068386484348,-0.163023138266182,0,0.39509152475053,0
"Aaron Baddeley",1,"15",0.781157764504461,-0.0379409352827482,0,0.256783170778287,1
"Aaron Baddeley",1,"16",-0.0812194179252064,0.0361653355264262,-0.329759559656785,0.374813642055565,0
"Aaron Baddeley",1,"17",-0.0892530262408102,-0.57324673325102,0,-0.337500240508169,-1
"Aaron Baddeley",1,"18",-0.0370270118800309,-0.447689433944123,0,0.484716445824154,0
"Aaron Baddeley",2,"1",0.26854942082949,0.291249970742863,0,0.440200608427647,1
"Aaron Baddeley",2,"2",-0.657692919570766,0,-0.0399034488919159,-0.302403631537318,-1
"Aaron Baddeley",2,"3",0.229875449157777,0.164567679521998,0,0.605556871320225,1
"Aaron Baddeley",2,"4",0.0317857171576477,0.231726572070368,0,-0.263512289228015,0
"Aaron Baddeley",2,"5",-0.628444369109532,0.0610299457066499,0,-0.432585576597118,-1
"Aaron Baddeley",2,"6",0.37669441763221,0,0,0.62330558236779,1
"Aaron Baddeley",2,"7",-0.00588261696646075,0.459891380757427,0,-0.454008763790966,0
"Aaron Baddeley",2,"8",0.313384233543748,0.150367919327763,0,0.536247847128489,1
"Aaron Baddeley",2,"9",0.565562333641626,-0.1897728768104,0,0.624210543168774,1
"Aaron Baddeley",2,"10",-0.366906115994753,-0.95556289670031,0,0.322469012695063,-1
"Aaron Baddeley",2,"11",0.252509473699424,0,0,-0.252509473699424,0
"Aaron Baddeley",2,"12",-0.597782046843703,0.067024868918224,0,-0.469242822074521,-1
"Aaron Baddeley",2,"13",0.00611113991731882,-0.364628181725823,0,0.358517041808504,0
"Aaron Baddeley",2,"14",0.108194164058005,0.282637745533971,0,-0.390831909591975,0
"Aaron Baddeley",2,"15",0.802607612395298,0.568933786191866,0,-0.371541398587164,1
"Aaron Baddeley",2,"16",-1.18847396690201,0.475846700411274,0,-1.28737273350926,-2
"Aaron Baddeley",2,"17",0.411390580852291,0.0701201824348063,0,0.518489236712903,1
"Aaron Baddeley",2,"18",-0.50045858392868,0,-0.0576312348628507,-0.441910181208469,-1
"Aaron Baddeley",3,"1",0.0691966231608845,0.302401978438067,0,-0.371598601598951,0
"Aaron Baddeley",3,"2",0.495687596646296,0,0,0.504312403353704,1
"Aaron Baddeley",3,"3",-0.35156144650465,-0.342428137946888,0,-0.306010415548462,-1
"Aaron Baddeley",3,"4",0.482978260455605,1.5170217395444,0,0,2
"Aaron Baddeley",3,"5",-0.171647353566822,-0.379607905839082,0,0.551255259405904,0
"Aaron Baddeley",3,"6",0.274306149059286,0,0,-0.274306149059286,0
"Aaron Baddeley",3,"7",0.169738015902288,0.218619524532452,0,0.611642459565259,1
"Aaron Baddeley",3,"8",-0.315490754937265,0.0693611594689907,0,0.246129595468275,0
"Aaron Baddeley",3,"9",0.623651182236156,0.161798996378795,-0.0618152151699254,0.276365036554975,1
"Aaron Baddeley",3,"10",-0.0720104274291988,-0.220066006522412,-0.0536812486695568,0.345757682621167,0
"Aaron Baddeley",3,"11",-0.377927990358935,0,-0.325559457462823,-0.296512552178241,-1
"Aaron Baddeley",3,"12",0.412142403500614,-0.050692666336112,0,-0.361449737164502,0
"Aaron Baddeley",3,"13",0.174883232541761,0.403786491190062,0,0.421330276268177,1
"Aaron Baddeley",3,"14",0.338516029793275,0.0977411293419868,0,0.563742840864738,1
"Aaron Baddeley",3,"15",0.651371211116557,-0.133285935943015,0,0.481914724826458,1
"Aaron Baddeley",3,"16",0.20568997762058,0.296215282999859,0,0.498094739379561,1
"Aaron Baddeley",3,"17",-0.334122202300204,-0.469473060614428,0,-0.196404737085368,-1
"Aaron Baddeley",3,"18",-0.116327159494395,0,-0.246033902297778,0.362361061792173,0
"Aaron Baddeley",4,"1",-0.183131450497925,-0.167173002790504,0,0.350304453288429,0
"Aaron Baddeley",4,"2",0.282050347582622,0,0,-0.282050347582622,0
"Aaron Baddeley",4,"3",-0.354738687193271,0.654925022167747,0,-0.300186334974475,0
"Aaron Baddeley",4,"4",0.274752783728009,0.021487987878422,0,-0.296240771606431,0
"Aaron Baddeley",4,"5",-0.0753554778025598,0.504164102092183,0,-0.428808624289624,0
"Aaron Baddeley",4,"6",-1.55397736410875,0,0,0.375653357451295,-1.17832400665745
