"Player_Name","Round","SG_Drive","SG_Approach","SG_Around_Green","SG_Putt","Total_Strokes_Gained"
"Aaron Baddeley",1,1.69582892687294,-0.135199186628851,-0.430877733943488,0.870247993699401,2
"Aaron Baddeley",2,-0.578976076431069,1.31343279638068,-0.0975346837547666,-0.636922036194841,0
"Aaron Baddeley",3,2.15907334744183,1.47139258869267,-0.687089823600084,3.05662388746558,6
"Aaron Baddeley",4,0.869145211179391,-0.371151801763041,-0.919820102905024,-1.75649731316878,-2.17832400665745
"Adam Scott",1,2.45436450712372,2.99196562732667,-0.326876799437873,-2.11945333501252,3
"Adam Scott",2,3.22526257954821,1.10657999362721,-0.453903473134358,1.12206089995894,5
"Adam Scott",3,0.492111164518717,-1.71279343320991,-0.438422989504605,-2.41407127780515,-4.07317653600095
"Adam Scott",4,3.04482125988151,0.877590414900663,0,-1.92241167478218,2
"Bill Haas",1,3.64389324950841,0.532019893381242,-1.61443203377285,-0.561481109116809,2
"Bill Haas",2,2.28825636493706,1.31598928778628,-0.5708263370986,-0.0334193156247462,3
"Bill Haas",3,1.53668072526254,1.38332701214963,-0.222973609953426,-1.73666925065916,0.96036487679958
"Bill Haas",4,2.01164942418866,2.03731254800322,-0.881666114893403,-1.16729585729847,2
"Bo Van Pelt",1,1.49824764464327,-0.663754721120975,-0.501348908336017,-1.33314401518628,-1
"Bo Van Pelt",2,2.16787507919892,1.44667056916494,-0.340679396445682,-3.27386625191818,0.000000000000000444089209850063
"Bo Van Pelt",3,1.49219347150808,2.3121113739001,-0.384446413250275,0.580141567842097,4
"Bo Van Pelt",4,1.70918043715713,0.681478636630075,-0.85291590789365,-1.04980824292531,0.487934922968246
"Brandt Snedeker",1,2.81646449698968,1.82173049604577,-0.983999686982472,-1.65419530605298,2
"Brandt Snedeker",2,2.20519145833099,0.478532509565806,-0.285449001284335,-1.39827496661246,1
"Brandt Snedeker",3,1.20855964084242,-1.1620648606672,-0.286556175183172,-3.75993860499204,-4
"Brandt Snedeker",4,1.33507766723084,-0.689324767253267,-0.680368565115563,0.973795094753666,0.939179429615673
"Bubba Watson",1,1.35710540366376,1.33156793999383,-1.03339579413559,-2.65527754952201,-1
"Bubba Watson",2,3.06334592927715,3.14890810407944,-0.627304378893721,0.0963345815032699,5.68128423596614
"Bubba Watson",3,-2.49296911658285,-4.99106056204514,-1.9210391380235,-0.32946108559831,-9.7345299022498
"Bubba Watson",4,2.82832349105395,0.558707520457117,-0.211064923388126,-2.87701845624098,0.298947631881962
"Charles Howell III",1,2.89706221060479,1.05733207950925,-0.137175763410361,-0.817218526703669,3
"Charles Howell III",2,0.732079022858518,1.77818100001448,-0.18747258854125,-2.91614035500729,-0.593352920675549
"Charles Howell III",3,2.78928408022387,2.6413467778893,-0.175233767338103,-3.79985548667815,1.45554160409691
"Charles Howell III",4,2.55370724394932,1.20448614795325,-0.383025661123738,-1.37516773077883,2
"Chez Reavie",1,1.64278624907183,1.81724082100452,-0.152685255524163,1.01311038712437,4.32045220167656
"Chez Reavie",2,-2.83120885964582,1.36645252915663,-0.440673362583492,-5.26333039994889,-7.16876009302157
"Chez Reavie",3,2.838053404298,1.5921123408728,0.0339606731545379,-2.46412641832534,2
"Chez Reavie",4,-0.149388371439562,-3.33733997198178,-0.298564830347247,0.157293214971009,-3.62799995879758
"David Toms",1,-0.622862407217728,2.9925459361999,-1.09897196639984,-4.27071156258233,-3
"David Toms",2,2.01226244829115,0.31648720730109,-0.528520168003913,3.16697187097087,4.9672013585592
"David Toms",3,0.947515062097285,0.887201730581832,-0.671898948444383,-4.16281784423473,-3
"David Toms",4,1.75725801476183,-0.468062148839699,-1.19239809479908,0.903202228876943,1
"Dustin Johnson",1,-0.340762019025635,-0.854336894574771,-0.120019674270272,-0.0287425713013094,-1.34386115917199
"Dustin Johnson",2,0.439648410967371,-0.658279137583574,-0.0100990313381679,-2.77127024204563,-3
"Dustin Johnson",3,2.00256690677956,-0.104329220586271,0.617514965553451,-1.9674991541156,0.548253497631142
"Dustin Johnson",4,1.79418036927729,0.126708375099588,-0.413220619641719,-1.07826568203961,0.429402442695554
"Fredrik Jacobson",1,-0.780189149532565,1.05071443036659,0.401181743403097,-0.94141554434183,-0.269708520104706
"Fredrik Jacobson",2,2.81383866168354,1.03294045455009,0.0951443310956805,-0.941923447329311,3
"Fredrik Jacobson",3,1.17400204506784,2.51842636700729,-2.15547678218132,0.463048370106182,2
"Fredrik Jacobson",4,-1.75932667953307,-0.0867587753302022,-0.327135631364749,-2.82677891377198,-5
"Gary Woodland",1,2.35315104623794,-1.17706819312539,-0.658790489211002,-2.62449084152392,-2.10719847762237
"Gary Woodland",2,1.95733538698282,2.90758110285171,-0.619494579048004,-1.91695717676691,2.32846473401962
"Gary Woodland",3,0.20347243829049,3.46505523777211,0,-5.6685276760626,-2
"Gary Woodland",4,4.25495461417902,1.25169228371633,-0.725358531134143,-0.781288366761208,4
"Geoff Ogilvy",1,-0.38776361218091,2.2397017990817,-0.412807724026205,-0.810655994758582,0.628474468116004
"Geoff Ogilvy",2,1.68710706681993,1.04376090651843,0.716242476313283,-1.44711044965164,2
"Geoff Ogilvy",3,0.531055120526456,1.31816665083933,-0.00555377925788103,-3.33905145993845,-1.49538346783055
"Geoff Ogilvy",4,1.82394001296851,-1.08236129080716,-0.489414849579965,1.74783612741862,2
"Hunter Mahan",1,1.91200780489963,1.4343917223785,-0.0464906114232246,-0.29990891585491,3
"Hunter Mahan",2,1.48791125562971,1.74029627340155,-0.250874402786183,-0.977333126245079,2
